Marca temporal,ID Único,Edad:,Género:,Nivel socioeconómico:,Grado de estudios:,Actualmente te encuentras:,Si actualmente trabajas. ¿En qué área trabajas?,Estado de origen:,Municipio de origen:,"1. Describa, ¿en qué situaciones últimamente ha sentido alegría?","2. Especifique, ¿en qué situaciones últimamente ha sentido ganas de llorar?","3. En las últimas dos semanas, ¿en qué momentos se ha sentido cansado?","4. ¿En qué situaciones de su día a día, puede identificar que se ha sentido preocupado?","5. Cuando la preocupación se hace presente en su vida, ¿cuáles son las sensaciones corporales que experimenta?","6. Si su escritor favorito le pidiera que le ayude a buscar el significado de la felicidad, ¿cuál sería la idea que usted escribiría?","7. Cuando tiene una elección importante que hacer, mencione ¿cuáles serían los pasos que seguiría para llegar a tomar una decisión?","8. Cuando sucede algo inesperado en su vida, por ejemplo: llegar tarde al trabajo, el automóvil se descompuso, se quedó sin batería el celular, olvidar las llaves, etc., describa ¿cómo reacciona ante estas situaciones?",9. Describa ¿En qué situaciones de su vida considera que se siente estresado o molesto?,"10. Por favor, describa brevemente ¿qué hace cuando tiene que enfrentar una situación difícil?"
4/23/2024 19:48:07,XH7ERTSE,20,Masculino,Bajo,Bachillerato,Ambos,"Construcción y trabajo manual - Carpinteros, electricistas, plomeros, etc.",Puebla,Puebla,"En las mañanas cuando tengo que tomar el transporte a la universisdad, en las tardes cuando comienza a  anochecer. Durante la cena y la madrugada cuando hago tareas.","Cuando entiendo el contexto en el que me encuentro, ver mi alrededor, tratar de comprenderlo, comprender a la gente, comprender que todos estan viviendo algo diferente y peor, y aun asi siguen aqui. 
Por incompetencia propia, indignacion.",Al terminar el dia.,Al despertar y en transcurso del camino entre mi casa y la universidad.,"Sudoracion excesiva, falta de aire, temblor en las manos.",Hacer lo que te apasiona.,"1. ver todas las posibles opciones.
2. seleccionar las de mayor peso.
3. mirar cuales afectan de manera menos negativa a terceros y excluir todas las que involucren terceros.
4. Seleccionar la que tenga respuesta inmediata.","SI es algo que no dependia de mi para que funcionara de buena forma, lo dejo pasar. Pero si es algo como el olvidar las llaves, no cargar el celular, me siento incompetente y con enojo de por medio.","Cuando miro peliculas o jugando videojuegos pues en esos momentos mi atencion esta en total dedicacion a algo mas que sucede, comprender lo que sucede.
Caminando, es como un momento de reflexion solo conmigo.
En cierto momento en el trabajo, al ser un trabajo manual, me gusta fijarme en los detalles, por lo que mi atencion se dirige hacia alla.","Primero veo a quienes esta afectando esta aparte de mi, luego busco opciones de como solucionar o sobrellevar la situacion, y escojo la opcion que muestre respuesta inmediata."
4/23/2024 19:48:07,HNAK6DR5,22,Masculino,Medio,Licenciatura,Ambos,"Autoempleo - Emprendedores, freelance, etc.",Puebla,Puebla ,Estando con mis amigos ,Alguna decepción ,Casi es esta última semana por temas de trabajos finales ,En las tardes- noches ,Nerviosismo ,Paz,"Pienso, analizó y actuó ",De forma un poco grosera pero con tranquilidad ,Cuando pasa algo que no quiero o en momentos de presión ,Tomar cosas con calma y de forma rápida 
4/23/2024 19:48:07,IAADDB7O,19,Masculino,Medio,Licenciatura,Estudiando,Estudiante - Para quienes están en instituciones educativas.,Puebla,Hueytamalco ,"Al comer, después de ver a mi familia y después de terminar una actividad pendiente ","Al momento de reflexionar lo ha sido de mi vida, además de ver alguna película que encaje en la situación, al igual que al momento de escuchar alguna canción que traigas ciertos recuerdos ","Casi siempre, regularmente después de convivir con personas en general, también al momento de terminar con algunos pendientes ","Casi nunca, más allá del pensar acerca de que será mañana de mi ","Escalofríos, agotamiento, taquicardia ","Más allá de lo básico de tener con que subsistir, vivir despreocupado y dentro de la medida divertirse en el camino sería la felicidad para mí, no es algo en específico o físico que puedas guardar, si no que en la vida hay momentos de felicidad y de tristeza, no puede ser siempre felicidad porque se volvería aburrido","Identificar mis opciones, averiguar que sucedería en cualquier opción tomada, no solo en lo positivo, también en lo negativo y consecuencias que pueda traer, verificar que es lo que quiero hacer, si concuerda con lo que menos cosas negativas me trae tomar esa opción, si no, lanzar una ronda de volados para verificar la respuesta, después de la ronda, debatir internamente si de verdad quiero hacer eso y finalmente tomar la desición ","Enojarme con la vida por un momento, después pensar en frío y verificar que no es tan grave para mí existencia, y finalmente, intentar continuar con mi día ","Al momento de tener varios y distintos pendientes, o al pensar si llegaré a fin de mes, también al momento de sobre pensar las cosas y situaciones que no puedo cambiar ","Me tomo mi tiempo para pensar una solución, después de hacer todo lo de la toma de decisión, pasar un tiempo (a veces días o semanas) sobre pensando todo y las consecuencias, esperar un momento adecuado y gracias a la impulsividad terminar haciendo x o y cosa"
4/23/2024 19:48:07,7FKG0LV6,20,Masculino,Medio,Bachillerato,Ambos,"Comercio y ventas - Vendedores, gerentes de tienda, representantes de atención al cliente, etc.",Tlaxcala,Tlaxcala ,Cuando salgo o convivo con personas de mi interés ,Cuando no veo a mis perros por bastante tiempo ,"Todos los días ,después de la escuela ",En el trabajo cuando las ventas están bajas ,"Cosquilleo en todo el cuerpo,dolor de ojos","Disfrutar cada día ,cada momento que haces ,no esperar o dejar pasar el tiempo ","Primero me lo planteo dependiendo los beneficios y los contras ,después esos beneficios los veo a largo y corto plazo al igual que los contras ,después lo que vea que es mejor para mi y para mi entorno ,en un plazo mediando ,es decir ,ni tan lejano ni tan cercano.",Trato de no estresarme encontrar una solución rápida y sino no sucede lo que quiero atenuarme a las consecuencias sin enojo ,"Cuando no puedo dormir ,cuando hace mucho calor ",Trato de buscar ayuda o sino es posible idear un plan con pasos y etapas 
4/23/2024 19:48:07,HJB227EF,27,Masculino,Medio,Bachillerato,Ambos,"Autoempleo - Emprendedores, freelance, etc.",Puebla,Puebla,cuando estoy con mis amigos o mi novia,cuando siento frustración por un programa que no compila,despues de la universidad ,cuando se acercan los finales de semestre,"vacio en el estomago, hormigueo en las manos, piernas debiles ",estar en casa ,"pensar en las posibles consecuencias, pensar si me servirá o no tomar esa decisión, ","respiro, y busco posibles soluciones, y las opciones mas viables ",cuando algo no puedo solucionarlo,"respirar, fumarme un cigarro, distraerme"
4/23/2024 19:48:07,GBDDJNH0,22,Femenino,Medio,Licenciatura,Estudiando,Estudiante - Para quienes están en instituciones educativas.,Puebla,Puebla,Cuando estoy acompañada de amigos que confío mucho y que me hagan sentir segura.,"Cuando suelo estar sola en casa pensando en cosas de la vida, me deprimo.",Al final de cada día de clases termino muy cansada y con mucho sueño.,Me preocupan los proyectos y exámenes que vaya a tener ese día.,Muchos nervios.,"Sentirse bien con uno mismo, tener amor propio.","Primero pensar si realmente vale la pena o no, segundo pensar las consecuencias, tercero tomar la decisión.","Al principio me preocupo, pero después busco una solución al problema.",Cuando algo no sale como quiero.,"Tomar calma, estar lo mas tranquila posible, marcarle a un familiar y buscar una solución al problema."
4/23/2024 19:48:07,9ZRTSOTK,19,Masculino,Medio,Licenciatura,Estudiando,Otro - Para quienes no encajen en las categorías anteriores.,Puebla,Tepeaca,Cuando recibo una buena noticia en mi día o logro algún objetivo.,Cuando me siento totalmente estresado y no veo una solución clara.,Siempre que viajo todos los días.,Al salir de un examen que no comprendí correctamente o de alguna acción que se pudo malinterpretar.,Me siento con el cuerpo pesado y torpe. ,"La felicidad es la armonía entre aceptación, propósito y conexión. ","Analizar los pros y contras, además de ser totalmente objetivo en cuestión de sentimientos.","Con preocupación leve, pero siempre buscando una solución rapida.",Cuando no logro comprender algo o mi situación empeora con mis acciones.,"Guardar la calma y tratar de pedir consejos, además de mantener mis acciones coherentes."
4/23/2024 19:48:07,0FQMQ0V1,23,Masculino,Medio,Licenciatura,Ambos,"Sector administrativo y de oficina - Incluye roles como asistente administrativo, recepcionista, etc.",Puebla,Puebla,Al estar con mi familia o amigos o jugar en linea con amigos,"Al hacer presente mas mis emociones retenidas, cosas que no he trabajado emocionalmente","Despues de dias donde el trabajo fue pesado y tengo que hacer tarea, con pocos momentos para descansar","Cuando hago mis finanzas y puede que no complete los gastos del mes, cuando mi familia o amigos no se comunican que esta bien despues de salir",No he prestado atencion a eso,Cuando sonries sin alguna razon aparente y todo lo malo se va ,Primero ver si economicamente me conviene despues pongo los positivo y negativo de la decision,"Es estresante y molesto, aunque intento calmarme pensando en que estas cosas pasan siempre y no podemls cambiar lo sucedido",En situaciones donde no me siento comodo o bien en pequeñas cosas que afectan mi dia,"Pongo musica que me tranquilice o libere el estres, como o bien me repito que no todas las situaciones no pueden salir a mi favor y no hay problema tan grande que no tenga solucion"
4/23/2024 19:48:07,60S1CVNZ,24,Masculino,Medio,Licenciatura,Estudiando,"Tecnología e informática - Desarrolladores de software, técnicos de IT, analistas de sistemas, etc.",Puebla,Puebla,Consiguiendo metas y éxitos ,Situaciones desafortunadas ,Al terminar el dia con la universidad ,Con los pendientes de la universidad ,"Sudor, ansiedad",Estar cómodo con lo que se ha logrado con tanto trabajo,"Analizar el problema, tomar ventajas y desventajas y analizarlas para llegar a buena decision",Con preocupación y nerviosismo ,Cuando no logró lo que me propongo,Analizo la problemática y busco posibles soluciones a ella que no importa si llevan tiempo o trabajo con tal de ser las adecuadas
4/23/2024 19:48:07,GKU8ECFL,20,Masculino,Medio,Bachillerato,Ambos,"Autoempleo - Emprendedores, freelance, etc.",Puebla,Huejotzingo,Cuando estoy con mi novia o cuando cumplo algo que me propongo ,Cuando discuto con mi familia ,Cuando me saturo de tareas y no tengo dinero ,Cuando pienso que estoy haciendo con mi vida o porque voy avanzando tan lento,Como escalofrios ,Felicidad es el momento en el que estas bien contigo mismo fisica y mentalmente ,"1. Platicar con alguen cercano o con experiencia para que me oriente 
2.Reflecionar mi desicion 
3.Dar mi eleccion ",Pues con calma y trato de solucionarlo y si ya no se puede asumo las consecuencias ,Cuando tengo muchas cosas por hacer y termino sin hacer ninguna ,Cuando entre a la universidad fue una desicion dificil escoger mi carrera y ahorita quiero emprender porque me siento con muy poco dinero 
4/23/2024 19:48:07,WED8UH5D,21,Masculino,Medio,Bachillerato,Estudiando,Estudiante - Para quienes están en instituciones educativas.,Oaxaca,Oaxaca de Juárez ,Al convivir con mis amigos ,Ninguna ,Después de la escuela ,Cuando me doy cuenta de mis pendientes ,"Estrés, fatiga y desconcentración ",Tranquilidad ,Respirar y pensar lo más que pueda mi respuesta ,Me enojo ,Cuando las cosas no salen como quiero ,Me enojo y busco la solución 
4/23/2024 19:48:07,FM5YVNM2,21,Femenino,Bajo,Licenciatura,Estudiando,Estudiante - Para quienes están en instituciones educativas.,Puebla,Puebla ,"Cuando me va bien en la Uni, estoy en familia en un ambiente bueno y cuando estoy con mi novio. ","Cuando veo que la relación entre familia van mal, y cuando no entiendo algo en la universidad ",El exceso de tareas y proyectos me agota demasiado ,"Cuando siento que no voy apoder hacer un tarea, o cuando veo que mi hermana no mejora ","Dolor de estómago, gastritis, acné ",La felicidad es momentánea pero siempre puede estar presente si asi lo buscamos ,Pienso que pasara si tomo esa decisión y que no si me da beneficios ,Siempre digo que por algo esta pasando y lo tomo del lado positivo aunque aveces me estréso ,"Cuando se me juntan las tareas, trabajo y mas sino me sale como espero y el tiempo esta sobre mi","Posiblemente siempre lloro primero, después trato de buscar ayuda y darle solución como planear que haré y por que. "
4/23/2024 19:48:07,TOKIQV38,21,Femenino,Medio,Licenciatura,Estudiando,Desempleo - Para quienes actualmente no están trabajando.,Puebla,Cuautlancingo,"Cuando estoy con mis amigos, o cuando las cosas del día a día salen bien.","Cuando mis planes del día no salen bien. Y cuando estoy en mi casa, sola en mi cuarto o es de noche y cuando llueve.","Cuando estoy en exámenes, evaluaciones, o cuando se me juntan las tareas de la escuela junto con problemas y discusiones que pueden haber en casa. ",Cuando los tiempos estimados no son lo que se esperan.,"Pocas energías, dificultad para dormir, para concentrarse y sobre pensar mucho las cosas. ","Felicidad es abstracto, pero para mí significa paz, alegría pura y diversión.","Primero analizar la situación, posteriormente analizar las posibles soluciones, descartar las que no aportan y de esa forma quedarme con la elección más prudente y concisa. ","Primero me preocupo, si afecta ha alguien más pido disculpas, luego me siento culpable conmigo misma, y tomo nota sobre los factores que pudieron llegar a aportar a que pasara el suceso inesperado, para que así en la próxima situación similar pueda prevenir dicho suceso. ","En lo personal, cuando no me salen bien las cosas y lo intento arreglar pero no me sale. En lo laboral cuando una persona es muy despreocupada, incumplida, irrespetuosa, o grosera.   ","Me alejo, me aíslo para pensar las cosas y analizar la situación, en privacidad de mi hogar priorizo mis sentimientos he intento platicar conmigo misma para verlo desde una perspectiva mas profunda. "
4/23/2024 19:48:16,QHVZR83J,19,Femenino,Medio,Licenciatura,Estudiando,Desempleo - Para quienes actualmente no están trabajando.,Puebla,Puebla,"1.Cuando tengo tiempo para escuchar o ver videos de mi banda favorita.
2.Cuando estoy con toda mi familia comiendo, viendo peliculas o platicando acerca de algun tema por el cual todos estamos interesados.","1.Cuando algún trabajo no me sale correctamente.
2.Cuando recuerdo algunas situaciones desagradables por las cuales mis supuestos amigos me hicieron pasar.
3.Cuando me dan noticias malas acerca de la salud de mis seres queridos.","La mayoria de los dias.
Si las dos semanas son 14 días, me he sentido cansada 10 dias.","1.Cuando siento que mis conocimientos no son lo suficientes.
2.Cuando hago mal algun trabajo o tarea.
3.Cuando siento que no me alcanza el tiempo para realizar mis actividades.","1.Dolor de cabeza.
2.Tensión muscular.
3.Falta de energia.","Es un momento en el cual sentimos que estamos en el lugar correcto y bien con nosotros mismos.
Por ejemplo cuando estamos con las personas que más amamos o cuando hacemos las actividades que más nos gustan.","1.Comprender bien cual es el problema.
2.Analizar las ventajas y desventajas.
3.Pensar si la eleccion que tome puede ser perjudicial para mi.
4.Platicar con la persona que más confianza tengo para tener una opinion más.
5.Tomar la eleccion que crea correcta.","1.Trato de mantener la calma.
2.En algunas ocasiones me pongo a llorar.
3.Busco alguna solucion y aprendo de la experiencia.","1.Cuando tengo algun trabajo en equipo y no aporto tantas ideas como quisiera.
2.Cuando tengo algún error en mis codigos y no lo puedo solucionar.
3.Y algunas veces cuando las personas me hablan mientras realizo algun trabajo.","1.Expreso mis emociones.
2.Pido ayuda a la persona en que más confio.
3.Trato de distraerme con cosas que me hagan feliz.
4.Busco alguna motivación para poder salir adelante."
4/23/2024 19:52:34,QXIEYINQ,20,Masculino,Bajo,Licenciatura,Estudiando,"Autoempleo - Emprendedores, freelance, etc.",Veracruz,Ixtaczoquitlán,Cuando estoy pasado el rato con mis amigos o durante un entrenamiento.,Cuando recuerdo a mi papá.,Por lo general después de un día de escuela.,De manera general en cosas sobre las que no tengo control.,"Tiendo a estar mas inquieto, agarrarme el cabello y morderme las uñas.",Hacer las cosas que más te gustan y dejar de preocuparse por cosas insignificantes.,"1. Ver los pros y los contras
2. Ignorar lo anterior y seguir mi intuición","Trato de llevarlo lo más a la ligera posible, si es algo en lo que no tenga control trato de no estresarme.",Cuando mis compañeros de equipo no hacen nada para los trabajos y cuando programo y llevo ya varias horas tratando de resolver los errores ,Pedir consejo a un amigo y seguir mi intuición
4/23/2024 20:03:37,KLWAYA6Z,21,Femenino,Medio,Licenciatura,Estudiando,"Tecnología e informática - Desarrolladores de software, técnicos de IT, analistas de sistemas, etc.",Morelos,Cuernavaca ,"Cuando estoy con mis amigos, cuando veo alguna serie. Me he sentido muy feliz últimamente porque estoy investigando sobre nuevas cosas de mi carrera","Cuando siento que hay algo que me está limitando, cuando no estoy entendiendo algún tema importante, etc ",Cuando llego de la escuela a mi casa y en el camino a casa,"En la tarde, cuando estoy en mi casa y siento que tengo demasiadas cosas que hacer ","Frío, incomodidad, se acelera el corazón y mis manos se ponen frías ","Que está en las cosas más simples, en todo lo que nos rodea y en los pequeños detalles ","Meditarlo, contarle a personas cercanas, volver a meditarlo pero ahora tomando en cuenta sus opiniones e informarme ","Me da mucha ansiedad y me cierro, ya no sé cómo actuar pero después me tranquilizo y analizo que puedo hacer para salir de esa siguacion ","Cuando no he dormido, cuando tengo que entregar algo ","Relajarme y escuchar música, estar con mis amigos "
4/23/2024 20:13:28,U57VENCU,21,Femenino,Medio,Licenciatura,Estudiando,Estudiante - Para quienes están en instituciones educativas.,Puebla,San Andrés Cholula,"Cuando paso tiempo con mi novio, cuando leo y cuando escucho música",Cuando veo mi cuerpo en un espejo,Cuando hago trabajos o proyectos de la universidad ,cuando salgo de casa,"comezón en la nariz y cabeza, punsaciones en cualquier parte del cuerpo","No hacer lo que te digan los demas, siempre pensar en uno mismo y pelear por lo que nos gusta","analizo la situación
recreo todos los escenarios que pueden suceder
reconozco las consecuencias
pienso las alternativas 
elijo la decisión","me frustro, me estreso, me enojo","cuando las cosas que hago no me salen como quiero, cuando me siento inferior ","sin que nadie me vea lloro
después pienso en todo, que fue lo que paso,  pienso cuantos escenarios puedo encontrar, que consecuencias hay, busco soluciones y actuó/decido"
4/23/2024 20:13:37,A2IERC7W,22,Masculino,Medio,Licenciatura,Estudiando,Otro - Para quienes no encajen en las categorías anteriores.,Puebla,Puebla ,"En el gimnasio, en mis prácticas y mientras estudio ",Problemas familiares,No me he sentido cansado ,Al darme cuenta de lo difícil que es destacar en mi carrera ,Sudor,Buscar siempre la constante mejora de uno mismo,"Analizar la situación y las opciones disponibles, hacer una valoración de la mejor desición según mis criterios y actuar ",Suelo molestarme conmigo ,Cuando las cosas no salen cómo las planeo ,Trato de tener la mente despejada para tomar la mejor desición 
